Rounded input length,Matching database length,Sample name;;;;;;;;;;
109,no hit,E07_E07;;;;;;;;;;
145,no hit,E09_E09;;;;;;;;;;
176,no hit,E09_E09;;;;;;;;;;
177,no hit,E09_E09;;;;;;;;;;
343,no hit,D01_D01; D02_D02; D05_D05; D08_D08; D09_D09; D11_D11; E01_E01; E08_E08; E09_E09;;
344,no hit,D03_D03; D10_D10; E03_E03; E10_E10;;;;;;;
345,no hit,D02_D02; D03_D03; D04_D04; D05_D05; D08_D08; D09_D09; E05_E05; E08_E08; E09_E09;;
346,no hit,D02_D02; D08_D08;;;;;;;;;
347,no hit,D02_D02; D05_D05; D09_D09; E01_E01; E08_E08; E09_E09;;;;;
348,no hit,D01_D01; D02_D02; D08_D08; E02_E02;;;;;;;
349,no hit,D06_D06; D10_D10; D11_D11; D12_D12; E03_E03; E05_E05;;;;;
351,no hit,D02_D02; D05_D05; D06_D06; D08_D08; D12_D12; E06_E06; E10_E10;;;;
352,no hit,D02_D02; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09;;;;;
353,no hit,D08_D08; E06_E06;;;;;;;;;
354,no hit,D06_D06; D12_D12; E06_E06;;;;;;;;
355,no hit,D09_D09; E02_E02; E09_E09;;;;;;;;
356,no hit,D08_D08; E03_E03; E06_E06;;;;;;;;
358,no hit,D02_D02; D06_D06; D08_D08; D09_D09; D10_D10; E06_E06; E08_E08; E09_E09;;;
360,362,D02_D02; D05_D05; D08_D08; D09_D09; D10_D10; E06_E06; E08_E08; E09_E09;;;
361,362,D01_D01; D02_D02; D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E06_E06;
362,362,D09_D09; E06_E06; E08_E08; E09_E09;;;;;;;
363,362,D01_D01; D02_D02; D05_D05; D06_D06; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E08_E08
364,362,D02_D02; D05_D05; D06_D06; D08_D08; E05_E05; E06_E06; E08_E08;;;;
365,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05;;;;
366,368,D02_D02; E01_E01; E05_E05;;;;;;;;
367,368,D01_D01; D02_D02; D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E08_E08; E10_E10
368,368,D12_D12; E06_E06;;;;;;;;;
369,368,D05_D05; D06_D06; E03_E03; E08_E08; E10_E10;;;;;;
370,368,E02_E02;;;;;;;;;;
371,no hit,D02_D02; D05_D05; D09_D09; D10_D10; E03_E03; E08_E08; E09_E09; E10_E10;;;
372,no hit,D08_D08; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05;;;;
373,no hit,E06_E06; E10_E10;;;;;;;;;
374,no hit,D08_D08; E08_E08; E10_E10;;;;;;;;
375,no hit,D10_D10; E02_E02;;;;;;;;;
376,no hit,E08_E08;;;;;;;;;;
378,no hit,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E08_E08;;;;;
379,no hit,E08_E08;;;;;;;;;;
380,no hit,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E08_E08;;;;;
381,383,D06_D06; D12_D12;;;;;;;;;
382,383,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05;;;;;;
383,383,D06_D06; D12_D12; E05_E05; E06_E06; E10_E10;;;;;;
384,383,D10_D10; E02_E02; E03_E03;;;;;;;;
385,383,D03_D03; D05_D05; D06_D06; D07_D07; D09_D09; D12_D12; E06_E06;;;;
386,no hit,E06_E06;;;;;;;;;;
387,no hit,D03_D03; D06_D06; D10_D10; D12_D12; E03_E03; E09_E09;;;;;
388,no hit,D02_D02; D03_D03; D04_D04; D05_D05; D08_D08; D09_D09; E03_E03; E06_E06; E08_E08;;
389,no hit,D02_D02; D04_D04; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09;;;;
390,no hit,D08_D08; E06_E06;;;;;;;;;
391,no hit,D02_D02; D05_D05; D06_D06; D09_D09; D10_D10; E02_E02; E03_E03; E09_E09;;;
392,no hit,D06_D06; E06_E06;;;;;;;;;
393,395,D02_D02; D05_D05; D08_D08; D09_D09; E06_E06; E08_E08; E09_E09;;;;
394,395; 396,D02_D02; D05_D05; D08_D08; D09_D09; E03_E03; E08_E08; E09_E09;;;
395,395; 396,E03_E03;;;;;;;;;
396,395; 396,D08_D08; E08_E08;;;;;;;;
397,395; 396,E03_E03;;;;;;;;;
398,396,D06_D06;;;;;;;;;;
399,no hit,E03_E03;;;;;;;;;;
400,402,D06_D06; E03_E03; E06_E06;;;;;;;;
401,402,D06_D06; E03_E03; E06_E06;;;;;;;;
402,402,D02_D02; D05_D05; D06_D06; D09_D09; E08_E08; E09_E09;;;;;
403,402,D06_D06; D08_D08; D10_D10; E02_E02; E03_E03; E06_E06;;;;;
404,402,D01_D01; E06_E06;;;;;;;;;
405,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E06_E06;;;
406,no hit,D01_D01; D10_D10; D11_D11; E01_E01; E02_E02; E03_E03; E05_E05; E06_E06;;;
407,no hit,E03_E03;;;;;;;;;;
408,no hit,D06_D06; D10_D10; D11_D11; E02_E02; E03_E03; E06_E06;;;;;
409,no hit,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05;;;;;;
410,no hit,D05_D05; D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E10_E10;;;;
411,413,E06_E06;;;;;;;;;;
412,413,E06_E06;;;;;;;;;;
413,413,E06_E06;;;;;;;;;;
415,413,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E10_E10;;;;;
416,418,D06_D06; D07_D07; D12_D12; E06_E06;;;;;;;
417,419; 418,D06_D06; D07_D07; D12_D12; E03_E03; E06_E06;;;;;
418,419; 418,D02_D02; D06_D06; E03_E03; E06_E06; E09_E09;;;;;
419,421;419; 418,D05_D05; D08_D08; D09_D09; E05_E05; E06_E06; E08_E08; E09_E09;;
420,421;419;418; 422,E09_E09;;;;;;;
423,421;424;423; 422,D06_D06;;;;;;;
424,426;424;423; 422,E06_E06;;;;;;;
425,427;426;424; 423,E09_E09;;;;;;;
429,427;428;429; 430,E06_E06;;;;;;;
432,430,E06_E06;;;;;;;;;;
434,no hit,E03_E03;;;;;;;;;;
435,no hit,D10_D10; E02_E02; E03_E03; E05_E05;;;;;;;
436,no hit,D11_D11;;;;;;;;;;
437,no hit,E05_E05; E06_E06;;;;;;;;;
442,443; 442,E06_E06;;;;;;;;;
447,449,E08_E08;;;;;;;;;;
448,45; 449,E08_E08;;;;;;;;;
455,456;453; 454,D06_D06; E06_E06;;;;;;;
457,456;459; 458,E06_E06;;;;;;;;
462,464; 463,E08_E08;;;;;;;;;
465,464;467;466;463; 465,E08_E08;;;;;;
469,467,E06_E06;;;;;;;;;;
470,472,E08_E08;;;;;;;;;;
472,472,E10_E10;;;;;;;;;;
478,479;477; 480,E01_E01; E08_E08; E12_E12;;;;;;
479,479;481;477; 480,E11_E11; E12_E12;;;;;;
484,486; 485,E12_E12;;;;;;;;;
486,488;486; 485,E10_E10; E11_E11; E12_E12;;;;;;
488,488;486; 490,E03_E03;;;;;;;;
489,488; 490,E10_E10;;;;;;;;;
493,no hit,E10_E10;;;;;;;;;;
495,no hit,E10_E10;;;;;;;;;;
498,498; 500,E12_E12;;;;;;;;;
499,501;498; 500,D05_D05; E08_E08;;;;;;;
500,501;498;502; 500,D03_D03; D04_D04; D09_D09; E09_E09; E11_E11; E12_E12;;
504,506;502;505; 504,D04_D04; D05_D05; D08_D08; D09_D09; E08_E08;;;
506,506;507;505; 504,D02_D02; D03_D03; D04_D04; D05_D05; D08_D08; D09_D09; E08_E08; E09_E09
507,506;509;507; 505,D03_D03; D04_D04; D08_D08; D09_D09; E08_E08; E09_E09;;
508,51;506;509; 507,D05_D05;;;;;;;
509,51;509;507; 511,E10_E10;;;;;;;
510,512;510;509; 511,D09_D09; E08_E08; E10_E10;;;;;
511,512;510;509;511; 513,E11_E11;;;;;;
512,512;514;510;511; 513,D02_D02;;;;;;
513,512;514;511; 513,D01_D01; E03_E03; E08_E08;;;;;
514,516;512;514; 513,D02_D02; D04_D04; E02_E02; E04_E04; E08_E08; E10_E10;;
516,516;514; 517,D10_D10; D11_D11; E02_E02; E03_E03;;;;;
517,516; 517,D10_D10; D11_D11; E02_E02; E03_E03; E05_E05; E12_E12;;;;
518,516; 517,D02_D02; D09_D09; D10_D10; E08_E08; E09_E09;;;;;
519,521; 517,D02_D02; D05_D05; D08_D08; E04_E04; E09_E09;;;;;
520,521; 522,D02_D02; D03_D03; D08_D08; D09_D09; D12_D12; E06_E06; E09_E09;;;
521,521;523; 522,D04_D04;;;;;;;;
522,521;523; 522,D03_D03; D05_D05; D08_D08; E08_E08; E10_E10;;;;
524,523;522; 525,D08_D08;;;;;;;;
525,527;523; 525,D06_D06; E11_E11;;;;;;;
526,527;528; 525,D07_D07; D12_D12; E06_E06; E12_E12;;;;;
528,527;530;528; 529,D06_D06; E06_E06;;;;;;
529,527;530;528;529; 531,D07_D07; D12_D12; E03_E03; E07_E07;;;
530,53;528;532;529; 531,D01_D01; D06_D06; D11_D11; E01_E01; E02_E02; E06_E06;
531,53;532;529; 531,D10_D10; E02_E02; E11_E11;;;;;
532,53;532;534; 531,D10_D10; E02_E02;;;;;;
533,535;532;534; 531,D10_D10; D11_D11;;;;;;
534,535;532; 534,D10_D10; E02_E02; E03_E03;;;;;;
536,535;538; 534,E05_E05;;;;;;;;
537,535;538; 539,D03_D03; E02_E02;;;;;;;
538,538; 539,D08_D08; E03_E03;;;;;;;;
539,538;539; 541,E10_E10;;;;;;;;
540,538;542;539; 541,D12_D12; E02_E02; E07_E07; E08_E08; E09_E09; E11_E11;;
541,542;539; 541,D03_D03; D10_D10; E05_E05; E10_E10;;;;;
542,542;544; 541,E11_E11;;;;;;;;
543,545;542;544; 541,D03_D03; D05_D05;;;;;;
544,545;542;544; 546,D11_D11;;;;;;;
545,545;547;544; 546,D03_D03; D09_D09;;;;;;
546,548;545;547;544; 546,E04_E04;;;;;;
547,548;545;547; 546,D12_D12;;;;;;;
550,548,E10_E10;;;;;;;;;;
551,553,E04_E04; E08_E08; E11_E11;;;;;;;;
553,553;554; 555,E04_E04;;;;;;;;
554,553;556;554; 555,D03_D03;;;;;;;
555,553;556;554;555; 557,E04_E04;;;;;;
557,559;556;555; 557,D06_D06; D08_D08; E06_E06;;;;;
558,559;560;556; 557,D02_D02; D05_D05; D09_D09; E09_E09;;;;
560,559;562;560; 561,E08_E08; E10_E10;;;;;;
561,559;562;563;560; 561,D03_D03; D05_D05; D06_D06; D08_D08; D09_D09; E08_E08;
562,564;562;563;560; 561,E09_E09;;;;;;
564,564;562;563;566; 565,E04_E04;;;;;;
567,568;566;565; 569,D08_D08; E06_E06;;;;;;
570,571;568;570; 569,D04_D04; E08_E08;;;;;;
571,571;570;573; 569,E04_E04; E10_E10;;;;;;
572,571;570;573; 574,D04_D04;;;;;;;
574,575;573; 574,D01_D01; E04_E04;;;;;;;
576,575;577; 574,E01_E01;;;;;;;;
577,575; 577,D01_D01;;;;;;;;;
578,577,D01_D01; D10_D10; E01_E01; E03_E03; E06_E06;;;;;;
579,577; 581,E02_E02; E03_E03;;;;;;;;
580,582; 581,D02_D02; D04_D04; D11_D11;;;;;;;
581,582;583; 581,D10_D10; D11_D11; E01_E01; E02_E02;;;;;
582,582;583;584; 581,D06_D06; E03_E03; E05_E05; E06_E06; E07_E07; E08_E08;;
584,586;582;583;585; 584,D06_D06;;;;;;
585,586;583;585;584; 587,D01_D01; D06_D06; D07_D07;;;;
586,588;586;585;584; 587,E07_E07;;;;;;
587,588;586;589;585; 587,D07_D07;;;;;;
589,588;590;589; 587,D02_D02; D04_D04; D10_D10; E03_E03; E05_E05; E10_E10;;
590,592;588;590; 589,E02_E02;;;;;;;
591,592;593;590; 589,D05_D05; D08_D08; E08_E08;;;;;
592,592;594;593; 590,D07_D07; E05_E05; E06_E06; E07_E07;;;;
593,595;592;594; 593,D07_D07;;;;;;;
594,595;592;594; 593,D07_D07; E05_E05; E07_E07;;;;;
597,595;598;597; 599,D07_D07; E01_E01; E06_E06; E11_E11;;;;
598,598;597;600; 599,D06_D06;;;;;;;
600,598;597;600;603;599; 601,D12_D12;;;;;
602,605;600;603;599;604; 601,E07_E07;;;;;
603,605;600;603;606;604; 601,D07_D07;;;;;
617,615;620;618;614;617; 616,D10_D10;;;;;
618,615;621;620;618;617; 616,E03_E03;;;;;
623,621;623;620;626;624; 622,D02_D02;;;;;
630,628;627;633;629;631;630; 632,E07_E07;;;;
644,643;646;641;642;645; 647,E07_E07;;;;;
645,643;646;648;642;645; 647,E10_E10;;;;;
647,65;646;648;645;649; 647,E04_E04;;;;;
648,65;646;648;651;645;649; 647,D03_D03; E10_E10;;;
649,65;646;652;648;651;649; 647,E04_E04;;;;
650,65;652;648;651;653;649; 647,E06_E06; E08_E08;;;
651,65;652;648;654;651;653; 649,D06_D06;;;;
660,661;660;657;659; 658,D08_D08; E08_E08;;;;;
663,664;661;660; 666,E04_E04;;;;;;;
668,667;670;669;666;671; 668,D04_D04;;;;;
669,667;670;672;669;666;671; 668,D02_D02;;;;
671,67;673;672;669;674;671; 668,D10_D10; E03_E03;;;
673,67;675;673;672;676;674; 671,E03_E03;;;;
674,677;675;673;672;676;674; 671,D10_D10;;;;
680,682;677;683;680;679; 681,D06_D06;;;;;
682,682;685;683;680;679;684; 681,D06_D06; E06_E06;;;
684,682;685;687;683;686;684; 681,D05_D05;;;;
688,688;685;687; 686,E07_E07;;;;;;;
689,688;692;687; 686,D07_D07;;;;;;;
691,694;693;688; 692,D09_D09; E09_E09;;;;;;
693,694;693;692;696; 695,D01_D01;;;;;;
696,699;694;693;696;695; 698,D05_D05;;;;;
701,702;701;699;703;700; 698,D08_D08;;;;;
702,702;701;699;703;700; 705,D05_D05;;;;;
704,702;701;707;703;706; 705,D08_D08;;;;;
708,709;710;707;711;708;706; 705,E03_E03;;;;
713,713;716;715;712;710;711; 714,E05_E05;;;;
